rule_id;original_rank;split;profile_id;model_id;target_id;feature_frame_path;feature_frame_sha256;scaler_scope;scaler_path;model_seed;model_path;status;locked_test;locked_test_status
rank05_time_only_linear_target_entry_avoid_sl_top30;5;train_core;time_only;linear;target_entry_avoid_sl;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_train_core_features.csv;5298921cc942112d304e93b45a5c2b7b66467a31b9f3f6807843afb7f4587e12;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_model.pkl;COMPUTED;not_opened;not_opened
rank05_time_only_linear_target_entry_avoid_sl_top30;5;val_select;time_only;linear;target_entry_avoid_sl;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_val_select_features.csv;f5d72b615918a64a2507f238f35b34e51b8e3e5e4e013d3988ccc5f56b3f3d8f;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_model.pkl;COMPUTED;not_opened;not_opened
rank05_time_only_linear_target_entry_avoid_sl_top30;5;val_eval;time_only;linear;target_entry_avoid_sl;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_val_eval_features.csv;7ba137d8dab550b089abf928e5515e7aa353d9ae9728a3395b7822bf62b36cda;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank05_rank05_time_only_linear_target_entry_avoid_sl_top30_model.pkl;COMPUTED;not_opened;not_opened
rank06_time_only_linear_target_entry_good_0_5r_top50;6;train_core;time_only;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_train_core_features.csv;5298921cc942112d304e93b45a5c2b7b66467a31b9f3f6807843afb7f4587e12;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_model.pkl;COMPUTED;not_opened;not_opened
rank06_time_only_linear_target_entry_good_0_5r_top50;6;val_select;time_only;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_val_select_features.csv;f5d72b615918a64a2507f238f35b34e51b8e3e5e4e013d3988ccc5f56b3f3d8f;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_model.pkl;COMPUTED;not_opened;not_opened
rank06_time_only_linear_target_entry_good_0_5r_top50;6;val_eval;time_only;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_val_eval_features.csv;7ba137d8dab550b089abf928e5515e7aa353d9ae9728a3395b7822bf62b36cda;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank06_rank06_time_only_linear_target_entry_good_0_5r_top50_model.pkl;COMPUTED;not_opened;not_opened
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;7;train_core;movement_plus_time;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_train_core_features.csv;5ad52e49dfe908377e1f5696aa26e893c9975f67f591888f4dfe70a65b6afb49;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_model.pkl;COMPUTED;not_opened;not_opened
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;7;val_select;movement_plus_time;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_val_select_features.csv;40b0262169f2ad545c9a8dd63f59a321be69bca584959bd06eebf93b70ed1c3e;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_model.pkl;COMPUTED;not_opened;not_opened
rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;7;val_eval;movement_plus_time;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_val_eval_features.csv;e9ff0f5d6f86bb27e317d5c422dc64304f0d94242a83ebfa893629223fe0942a;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank07_rank07_movement_plus_time_linear_target_entry_good_0_5r_top40_model.pkl;COMPUTED;not_opened;not_opened
rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;8;train_core;movement_plus_time;linear;target_entry_good_0_5r;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank08_rank08_movement_plus_time_linear_target_entry_good_0_5r_top30_train_core_features.csv;5ad52e49dfe908377e1f5696aa26e893c9975f67f591888f4dfe70a65b6afb49;train_core_only;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank08_rank08_movement_plus_time_linear_target_entry_good_0_5r_top30_scaler.json;42;ML/reports/fractal0_fixed11_internal_closure_rerun_canonical_feature_state/rank08_rank08_movement_plus_time_linear_target_entry_good_0_5r_top30_model.pkl;COMPUTED;not_opened;not_opened
